Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-17 00:00:00+08:00,0.140000,0.140000,0.130000,0.140000,3040,0.000000,0.000000
2019-06-18 00:00:00+08:00,0.250000,0.250000,0.250000,0.250000,10,0.000000,0.000000
2019-06-19 00:00:00+08:00,0.230000,0.230000,0.230000,0.230000,9000,0.000000,0.000000
2019-06-21 00:00:00+08:00,0.240000,0.240000,0.240000,0.240000,10,0.000000,0.000000
2019-06-25 00:00:00+08:00,0.200000,0.200000,0.140000,0.160000,65800,0.000000,0.000000
2019-06-26 00:00:00+08:00,0.170000,0.200000,0.160000,0.180000,253060,0.000000,0.000000
2019-06-27 00:00:00+08:00,0.180000,0.320000,0.180000,0.300000,2253900,0.000000,0.000000
2019-06-28 00:00:00+08:00,0.300000,0.310000,0.260000,0.270000,567250,0.000000,0.000000
2019-07-01 00:00:00+08:00,0.280000,0.390000,0.280000,0.360000,2300420,0.000000,0.000000
2019-07-02 00:00:00+08:00,0.350000,0.440000,0.340000,0.400000,2525390,0.000000,0.000000
2019-07-03 00:00:00+08:00,0.410000,0.470000,0.400000,0.420000,1798770,0.000000,0.000000
2019-07-04 00:00:00+08:00,0.430000,0.440000,0.380000,0.400000,834030,0.000000,0.000000
2019-07-05 00:00:00+08:00,0.360000,0.380000,0.350000,0.360000,376230,0.000000,0.000000
2019-07-08 00:00:00+08:00,0.350000,0.350000,0.320000,0.330000,321230,0.000000,0.000000
2019-07-09 00:00:00+08:00,0.310000,0.380000,0.300000,0.350000,1178500,0.000000,0.000000
2019-07-10 00:00:00+08:00,0.360000,0.380000,0.340000,0.360000,782860,0.000000,0.000000
2019-07-11 00:00:00+08:00,0.350000,0.370000,0.340000,0.360000,381350,0.000000,0.000000
2019-07-12 00:00:00+08:00,0.350000,0.360000,0.340000,0.340000,216700,0.000000,0.000000
2019-07-15 00:00:00+08:00,0.350000,0.380000,0.310000,0.370000,1170320,0.000000,0.000000
2019-07-16 00:00:00+08:00,0.390000,0.410000,0.360000,0.360000,1392270,0.000000,0.000000
2019-07-17 00:00:00+08:00,0.370000,0.390000,0.350000,0.370000,598060,0.000000,0.000000
2019-07-18 00:00:00+08:00,0.360000,0.390000,0.360000,0.370000,477550,0.000000,0.000000
2019-07-19 00:00:00+08:00,0.370000,0.410000,0.370000,0.370000,1329370,0.000000,0.000000
2019-07-22 00:00:00+08:00,0.370000,0.380000,0.350000,0.350000,637550,0.000000,0.000000
2019-07-23 00:00:00+08:00,0.360000,0.390000,0.360000,0.370000,656550,0.000000,0.000000
2019-07-24 00:00:00+08:00,0.380000,0.440000,0.380000,0.390000,3478610,0.000000,0.000000
2019-07-25 00:00:00+08:00,0.400000,0.400000,0.370000,0.370000,1033520,0.000000,0.000000
2019-07-26 00:00:00+08:00,0.360000,0.390000,0.360000,0.370000,252680,0.000000,0.000000
2019-07-29 00:00:00+08:00,0.370000,0.390000,0.360000,0.360000,388970,0.000000,0.000000
2019-07-30 00:00:00+08:00,0.360000,0.370000,0.330000,0.330000,776660,0.000000,0.000000
2019-07-31 00:00:00+08:00,0.340000,0.350000,0.310000,0.320000,842420,0.000000,0.000000
2019-08-01 00:00:00+08:00,0.320000,0.340000,0.310000,0.330000,502290,0.000000,0.000000
2019-08-02 00:00:00+08:00,0.320000,0.330000,0.310000,0.320000,290480,0.000000,0.000000
2019-08-05 00:00:00+08:00,0.310000,0.320000,0.260000,0.260000,372830,0.000000,0.000000
2019-08-06 00:00:00+08:00,0.240000,0.290000,0.240000,0.290000,438070,0.000000,0.000000
2019-08-07 00:00:00+08:00,0.290000,0.320000,0.280000,0.310000,1703140,0.000000,0.000000
2019-08-08 00:00:00+08:00,0.300000,0.320000,0.280000,0.280000,1124620,0.000000,0.000000
2019-08-13 00:00:00+08:00,0.280000,0.290000,0.260000,0.280000,134700,0.000000,0.000000
2019-08-14 00:00:00+08:00,0.280000,0.300000,0.280000,0.280000,367320,0.000000,0.000000
2019-08-15 00:00:00+08:00,0.270000,0.280000,0.270000,0.280000,323630,0.000000,0.000000
2019-08-16 00:00:00+08:00,0.280000,0.290000,0.270000,0.290000,517320,0.000000,0.000000
2019-08-19 00:00:00+08:00,0.290000,0.310000,0.290000,0.300000,991130,0.000000,0.000000
2019-08-20 00:00:00+08:00,0.310000,0.310000,0.280000,0.280000,98550,0.000000,0.000000
2019-08-21 00:00:00+08:00,0.290000,0.300000,0.280000,0.300000,161570,0.000000,0.000000
2019-08-22 00:00:00+08:00,0.300000,0.320000,0.300000,0.300000,555040,0.000000,0.000000
2019-08-23 00:00:00+08:00,0.300000,0.300000,0.290000,0.290000,204920,0.000000,0.000000
2019-08-26 00:00:00+08:00,0.280000,0.280000,0.260000,0.280000,476950,0.000000,0.000000
2019-08-27 00:00:00+08:00,0.270000,0.270000,0.260000,0.260000,73950,0.000000,0.000000
2019-08-28 00:00:00+08:00,0.260000,0.260000,0.240000,0.240000,110020,0.000000,0.000000
2019-08-29 00:00:00+08:00,0.260000,0.260000,0.220000,0.230000,232090,0.000000,0.000000
2019-08-30 00:00:00+08:00,0.250000,0.250000,0.220000,0.240000,110520,0.000000,0.000000
2019-09-02 00:00:00+08:00,0.220000,0.230000,0.200000,0.220000,165630,0.000000,0.000000
2019-09-03 00:00:00+08:00,0.240000,0.240000,0.220000,0.220000,125820,0.000000,0.000000
2019-09-04 00:00:00+08:00,0.230000,0.240000,0.220000,0.230000,196580,0.000000,0.000000
2019-09-05 00:00:00+08:00,0.230000,0.240000,0.220000,0.220000,216250,0.000000,0.000000
2019-09-06 00:00:00+08:00,0.240000,0.250000,0.230000,0.230000,213310,0.000000,0.000000
2019-09-09 00:00:00+08:00,0.240000,0.240000,0.230000,0.230000,91930,0.000000,0.000000
2019-09-10 00:00:00+08:00,0.230000,0.240000,0.210000,0.230000,227930,0.000000,0.000000
2019-09-11 00:00:00+08:00,0.230000,0.230000,0.210000,0.220000,44060,0.000000,0.000000
2019-09-12 00:00:00+08:00,0.230000,0.230000,0.220000,0.230000,28000,0.000000,0.000000
2019-09-13 00:00:00+08:00,0.230000,0.230000,0.220000,0.230000,244110,0.000000,0.000000
2019-09-16 00:00:00+08:00,0.230000,0.260000,0.230000,0.260000,820630,0.000000,0.000000
2019-09-17 00:00:00+08:00,0.270000,0.270000,0.240000,0.260000,164130,0.000000,0.000000
2019-09-18 00:00:00+08:00,0.240000,0.250000,0.240000,0.250000,80690,0.000000,0.000000
2019-09-19 00:00:00+08:00,0.240000,0.240000,0.230000,0.230000,123780,0.000000,0.000000
2019-09-20 00:00:00+08:00,0.240000,0.240000,0.210000,0.220000,91770,0.000000,0.000000
2019-09-23 00:00:00+08:00,0.210000,0.220000,0.200000,0.220000,254800,0.000000,0.000000
2019-09-24 00:00:00+08:00,0.230000,0.240000,0.220000,0.230000,186320,0.000000,0.000000
2019-09-25 00:00:00+08:00,0.240000,0.240000,0.230000,0.230000,120340,0.000000,0.000000
2019-09-26 00:00:00+08:00,0.240000,0.240000,0.240000,0.240000,115010,0.000000,0.000000
