Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RClose
2022-04-01 00:00:00+08:00,3.765674,3.869751,3.756212,3.822443,5946979,0.000000,0.000000,3.848430
2022-04-04 00:00:00+08:00,3.831905,3.860290,3.812982,3.812982,3374147,0.000000,0.000000,3.839160
2022-04-05 00:00:00+08:00,3.850827,3.879212,3.822443,3.879212,4191519,0.000000,0.000000,3.905581
2022-04-06 00:00:00+08:00,3.850827,3.860290,3.812982,3.812982,6901426,0.000000,0.000000,3.839543
2022-04-07 00:00:00+08:00,3.794058,3.841366,3.765675,3.803520,5505675,0.000000,0.000000,3.830272
2022-04-08 00:00:00+08:00,3.812982,3.850827,3.794058,3.831905,4533242,0.000000,0.000000,3.858848
2022-04-11 00:00:00+08:00,3.822443,3.860290,3.794058,3.822443,3793096,0.000000,0.000000,3.849577
2022-04-12 00:00:00+08:00,3.794058,3.831905,3.775136,3.803520,4983691,0.000000,0.000000,3.830845
2022-04-13 00:00:00+08:00,3.850827,3.869751,3.822443,3.850827,3953746,0.000000,0.000000,3.878343
2022-04-14 00:00:00+08:00,3.869751,3.869751,3.822443,3.831905,3674311,0.000000,0.000000,3.859612
2022-04-18 00:00:00+08:00,3.831905,3.841366,3.784597,3.784597,3778159,0.000000,0.000000,3.812495
2022-04-19 00:00:00+08:00,3.803520,3.831905,3.756212,3.756212,6365419,0.000000,0.000000,3.784301
2022-04-20 00:00:00+08:00,3.784597,3.831905,3.775136,3.812982,4560983,0.000000,0.000000,3.841262
2022-04-21 00:00:00+08:00,3.831905,3.850827,3.803520,3.803520,4233282,0.000000,0.000000,3.831991
2022-04-22 00:00:00+08:00,3.794058,3.850827,3.784597,3.831905,4007092,0.000000,0.000000,3.860567
2022-04-25 00:00:00+08:00,3.794058,3.850827,3.794058,3.841366,7647872,0.000000,0.000000,3.870220
2022-04-26 00:00:00+08:00,3.850827,3.850827,3.794058,3.822443,5367157,0.000000,0.000000,3.851488
2022-04-27 00:00:00+08:00,3.794058,3.869751,3.794058,3.860290,5530367,0.000000,0.000000,3.889526
2022-04-28 00:00:00+08:00,3.831905,3.964366,3.822443,3.935981,10406349,0.000000,0.000000,3.965408
2022-04-29 00:00:00+08:00,3.964366,4.068442,3.907597,4.002212,15817728,0.000000,0.000000,4.031830
2022-05-04 00:00:00+08:00,3.926520,3.945442,3.841366,3.898135,14463029,0.000000,0.000000,3.927944
2022-05-05 00:00:00+08:00,3.831872,3.850936,3.774680,3.803276,10455936,0.030000,0.000000,3.833276
2022-05-06 00:00:00+08:00,3.765148,3.793744,3.727019,3.774680,11313546,0.000000,0.000000,3.805166
2022-05-09 00:00:00+08:00,3.736552,3.793744,3.727019,3.736552,5241381,0.000000,0.000000,3.767524
2022-05-10 00:00:00+08:00,3.688892,3.707956,3.603104,3.631699,14243952,0.000000,0.000000,3.663156
2022-05-11 00:00:00+08:00,3.603104,3.698424,3.603104,3.698424,17462633,0.000000,0.000000,3.730367
2022-05-12 00:00:00+08:00,3.688891,3.688891,3.584040,3.603104,21814294,0.000000,0.000000,3.635533
2022-05-13 00:00:00+08:00,3.660295,3.669828,3.603104,3.612636,18136528,0.000000,0.000000,3.645551
2022-05-17 00:00:00+08:00,3.631699,3.679360,3.612636,3.669828,8300530,0.000000,0.000000,3.703229
2022-05-18 00:00:00+08:00,3.688892,3.736552,3.669828,3.669828,6502698,0.000000,0.000000,3.703715
2022-05-19 00:00:00+08:00,3.622167,3.650764,3.612636,3.631699,10455326,0.000000,0.000000,3.666071
2022-05-20 00:00:00+08:00,3.641232,3.727019,3.631699,3.727019,9989941,0.000000,0.000000,3.761877
2022-05-23 00:00:00+08:00,3.755615,3.765148,3.650763,3.688891,6982106,0.000000,0.000000,3.724235
2022-05-24 00:00:00+08:00,3.717488,3.717488,3.660295,3.669828,7173544,0.000000,0.000000,3.705658
2022-05-25 00:00:00+08:00,3.669828,3.698424,3.641232,3.660295,5451211,0.000000,0.000000,3.696611
2022-05-26 00:00:00+08:00,3.679360,3.688891,3.641232,3.650764,8093850,0.000000,0.000000,3.687566
2022-05-27 00:00:00+08:00,3.660295,3.717488,3.660295,3.717488,4457643,0.000000,0.000000,3.754775
2022-05-30 00:00:00+08:00,3.717487,3.755615,3.717487,3.736552,5493278,0.000000,0.000000,3.774325
2022-05-31 00:00:00+08:00,3.727019,3.784212,3.717488,3.765148,22006342,0.000000,0.000000,3.803407
2022-06-01 00:00:00+08:00,3.793744,3.812808,3.707956,3.717488,6677472,0.000000,0.000000,3.756233
2022-06-02 00:00:00+08:00,3.707956,3.707956,3.660295,3.679360,9631451,0.000000,0.000000,3.718591
2022-06-03 00:00:00+08:00,3.707956,3.727019,3.679360,3.707956,2982024,0.000000,0.000000,3.747673
2022-06-06 00:00:00+08:00,3.688892,3.707956,3.660295,3.707956,4176277,0.000000,0.000000,3.748158
2022-06-07 00:00:00+08:00,3.698424,3.707956,3.669828,3.698424,5546015,0.000000,0.000000,3.739112
2022-06-08 00:00:00+08:00,3.707956,3.717488,3.669828,3.669828,6951826,0.000000,0.000000,3.711002
2022-06-09 00:00:00+08:00,3.679360,3.688891,3.660295,3.679360,4933698,0.000000,0.000000,3.721020
2022-06-10 00:00:00+08:00,3.660295,3.660295,3.641232,3.660295,5985490,0.000000,0.000000,3.702441
2022-06-13 00:00:00+08:00,3.650764,3.660295,3.622167,3.631699,12296445,0.000000,0.000000,3.674331
2022-06-14 00:00:00+08:00,3.612636,3.622167,3.479187,3.479187,18475507,0.000000,0.000000,3.522304
2022-06-15 00:00:00+08:00,3.479187,3.507784,3.450591,3.450591,12840581,0.000000,0.000000,3.494194
2022-06-16 00:00:00+08:00,3.498251,3.517315,3.441060,3.460123,11195574,0.000000,0.000000,3.504212
2022-06-17 00:00:00+08:00,3.441060,3.727019,3.441060,3.727019,38730150,0.000000,0.000000,3.771594
2022-06-20 00:00:00+08:00,3.679360,3.688891,3.631699,3.641232,10373833,0.000000,0.000000,3.686293
2022-06-21 00:00:00+08:00,3.660295,3.679360,3.631699,3.631699,7391808,0.000000,0.000000,3.677246
2022-06-22 00:00:00+08:00,3.631699,3.679360,3.545912,3.545912,11116621,0.000000,0.000000,3.591944
